Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2022-08-12T16:00:00.000Z,Manchester City,Bournemouth,home,1.85,85.00000000000001,0
2022-08-12T16:00:00.000Z,Brighton,Newcastle,home,2.08,0,0
2022-08-12T16:00:00.000Z,Aston Villa,Everton,home,1.92,92,0
2022-08-12T16:00:00.000Z,Arsenal,Leicester,home,1.86,86.00000000000001,0
2022-08-12T16:00:00.000Z,Wolves,Fulham,home,1.85,0,0
2022-08-13T16:00:00.000Z,Chelsea,Tottenham,home,1.9,0,0
2022-08-19T16:00:00.000Z,Tottenham,Wolves,home,1.91,90.99999999999999,0
2022-08-19T16:00:00.000Z,Fulham,Brentford,home,1.87,87.00000000000001,0
2022-08-19T16:00:00.000Z,Crystal Palace,Aston Villa,home,1.72,72,0
2022-08-20T16:00:00.000Z,Newcastle,Manchester City,home,1.92,0,0
2022-08-20T16:00:00.000Z,Leeds,Chelsea,home,2.09,108.99999999999999,0
2022-08-20T16:00:00.000Z,Bournemouth,Arsenal,home,1.96,-100,0
2022-08-26T16:00:00.000Z,Manchester City,Crystal Palace,home,2.11,110.99999999999999,0
2022-08-26T16:00:00.000Z,Liverpool,Bournemouth,home,1.82,82,0
2022-08-26T16:00:00.000Z,Southampton,Manchester Utd,home,1.7,-100,0
2022-08-26T16:00:00.000Z,Brighton,Leeds,home,1.9,89.99999999999999,0
2022-08-27T16:00:00.000Z,Nottingham Forest,Tottenham,home,1.93,-100,0
2022-08-27T16:00:00.000Z,Arsenal,Fulham,home,2.26,125.99999999999997,0
2022-08-30T16:00:00.000Z,Crystal Palace,Brentford,home,1.75,0,0
2022-08-30T16:00:00.000Z,Southampton,Chelsea,home,2.07,106.99999999999999,0
2022-08-30T16:00:00.000Z,Fulham,Brighton,home,1.88,87.99999999999999,0
2022-08-31T16:00:00.000Z,Manchester City,Nottingham Forest,home,1.84,84.00000000000001,0
2022-08-31T16:00:00.000Z,Liverpool,Newcastle,home,1.89,88.99999999999999,0
